GST_ID_NO,Weight,GST_Cereal,GST_Other,GST_Total
410881103,818,30,5890,5920
410881104,818,38,8704,8743
410881201,4333,24,3848,3872
410881202,4333,47,9688,9735
410881203,4333,23,3576,3600
410881204,4333,25,7237,7261
410891201,808,74,10732,10806
410891202,808,28,9365,9393
410891203,808,8,2014,2022
410891204,808,16,2992,3007
410891205,808,15,2687,2702
410891206,808,18,3034,3051
410891301,255,78,18368,18446
410891302,255,16,2147,2164
410901101,468,24,14301,14325
410901102,468,24,20012,20036
410901201,546,23,4006,4029
410901202,546,27,6784,6811
410901203,546,28,4630,4657
410901204,546,32,7806,7838
410901301,1014,14,2070,2084
410901302,1014,23,957,980
410931101,4834,20,9080,9101
410931102,4834,56,42778,42834
410931201,3021,32,8339,8371
410931202,3021,24,7623,7646
410931203,3021,30,15988,16017
410931204,3021,42,27055,27096
410931301,345,36,3737,3773
410931302,345,35,15549,15584
410981101,615,29,1550,1579
410981102,615,42,5110,5152
410981201,692,49,8199,8248
410981202,692,34,3906,3941
410981203,692,34,12439,12473
410981204,692,26,2645,2671
410981301,102,39,2919,2958
411101101,75,26,4317,4342
411101102,75,32,5611,5643
411101201,318,37,3866,3903
411101202,318,34,2917,2951
411101203,318,25,2199,2225
411101204,318,36,7177,7213
411101301,65,30,1225,1254
411101302,65,19,475,494
411111101,760,41,3314,3355
411111102,760,39,2670,2709
411111201,1940,75,2497,2572
411111202,1940,47,1752,1799
411111203,1940,71,3199,3270
411111204,1940,71,2738,2809
411111301,1800,20,1666,1686
411111302,1800,23,1720,1743
411121101,49,34,5658,5692
411121102,49,52,7507,7560
411121201,175,18,799,817
411121202,175,8,1084,1091
411121203,175,12,1032,1044
411121204,175,20,2031,2051
411121301,126,6,884,889
411121302,126,40,3860,3900
411131101,155,67,12808,12875
411131102,155,68,18035,18103
411131201,3144,75,3578,3653
411131202,3144,41,2134,2175
411131203,3144,106,9317,9423
411131204,3144,55,2459,2514
411131301,2018,15,805,821
411131302,2018,78,3316,3394
411141101,521,34,5201,5235
411141102,521,18,10984,11003
411141201,329,7,826,833
411141202,329,14,1692,1706
411141203,329,28,3894,3922
411141204,329,17,16919,16936
411141301,85,70,2977,3047
411141302,85,30,982,1012
411151101,888,130,29458,29588
411151102,888,42,114861,114903
411151201,2735,42,5932,5974
411151202,2735,27,13245,13272
411151203,2735,59,16153,16212
411151204,2735,30,2090,2120
411151301,561,40,2387,2427
411151302,561,55,2183,2237
411161101,384,60,12806,12866
