GTI2017,citax2017,GTI2018,citax2018
1141521,352730,160223,49509
68524356,22656208,0,0
0,0,5844,1806
14878,4597,10851,3353
3767847,1164265,2166080,669319
0,0,0,0
0,0,0,0
1596867,493432,1035449,319954
881615,272419,513522,158678
0,0,0,0
0,0,0,0
0,0,0,0
0,0,4655689,1438608
0,0,0,0
0,0,0,0
0,0,1923067,493599
1407086,434790,0,0
0,0,0,0
0,0,0,0
664131,205216,4589717,1418223
0,0,2192798,677575
1857930,574100,809172,250034
0,0,0,0
2566757,793128,999067,308712
0,0,0,0
0,0,0,0
0,0,0,0
8012,2476,3563,1101
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1607818,496816,0,0
0,0,0,0
2308882,713444,1161931,359037
22349538,7389428,17371116,5743412
0,0,0,0
74759,23100,7238,2236
0,0,0,0
0,0,0,0
23552,7278,15417,4764
0,0,0,0
105106,32478,29135,9003
464198,143437,511542,153620
0,0,0,0
3098525,957444,754464,233130
0,0,0,0
6948,2147,11436576,3781275
0,0,0,0
0,0,9809904,3031260
0,0,0,0
1315190,406394,873865,270024
0,0,0,0
10749306,3554043,6185593,1897199
0,0,301399,93132
0,0,0,0
2249,695,4340,1341
0,0,0,0
0,0,0,0
0,0,0,0
0,0,47200,14585
1323007,402883,0,0
0,0,0,0
8279,2558,0,0
0,0,2658365,821435
1579017,487916,1099845,339852
179111,55345,158489,48973
24002226,7935856,15917215,5262709
0,0,0,0
0,0,0,0
0,0,0,0
200367,61913,0,0
0,0,0,0
0,0,0,0
0,0,0,0
236654,73126,219019,67677
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
374707,115785,383970,118647
18861001,6236013,12428086,4109098
84785,26199,0,0
0,0,0,0
0,0,0,0
5154881,1592858,232560,71861
17970961,5941739,17217077,5692482
3939461,1217293,1586954,490369
0,0,0,0
0,0,2540332,784963
5835863,1803282,2213336,683921
0,0,2213,684
0,0,0,0
606732,187480,1201981,371412
4537022,1401940,6017521,1859414
0,0,6824,2109
0,0,31163,9629
0,0,0,0
509556,157453,100931,31188
0,0,0,0
13660,4221,9111,2815
0,0,0,0
0,4483,0,0
0,0,0,0
0,0,0,0
