FILING_SEQ_NO,AGEGRP,SALARIES,INCOME_HP,TOTAL_PROFTS_GAINS_BP,TOTAL_INCOME_OS,GTI,TTI,pitax1,pitax2,pitax_diff,percent change in tax,Zero change
267987108,0,0,0,682469,0,682469,447469,10170,0,-10170,-100,0
268012455,0,0,0,1056685,27367,1115975,955975,105162,93183,-11979,-11,0
268070843,0,0,0,417305,566958,984263,829489,80750,68534,-12216,-15,0
268136595,0,0,0,851017,24976,875993,715993,57370,44927,-12443,-22,0
268138071,0,0,0,85868,0,85868,85868,0,0,0,0,1
268146287,0,0,0,1377193,0,1377193,1307020,210744,199790,-10954,-5,0
268166957,0,0,0,278370,0,278370,278370,0,0,0,0,1
268197510,0,86172,0,1122305,299,1208777,1043799,129409,117665,-11744,-9,0
268207188,0,0,0,490446,10453,713029,560606,45165,40483,-4682,-10,0
268222104,1,0,79485,0,0,79485,79485,0,0,0,0,1
268240905,1,0,0,786415,350953,1137368,977165,108596,99250,-9346,-9,0
268305869,0,67083,0,2504653,17144,2759155,2597622,592002,584749,-7252,-1,0
268377825,0,0,31494,615229,22088,733711,622565,38123,25493,-12630,-33,0
268469599,0,0,0,723474,665,724138,711159,56374,43921,-12453,-22,0
268472521,0,0,56239,566722,16417,639378,603074,34108,21439,-12669,-37,0
268527911,0,0,0,759166,13670,795061,641406,40860,28257,-12603,-31,0
268532882,0,0,0,740387,18480,758867,598867,33242,20564,-12677,-38,0
268559295,0,875797,0,110691,283743,1270231,1115875,151680,140153,-11527,-8,0
