GST_ID_NO,Weight,Weighted GST_Cereal,Weighted Total Consumption,Weighted GST
443581201,1856,4500844,827361316,67148335
443581202,1856,3239979,638754465,44594032
443581203,1856,3971333,1075508729,93874569
443581204,1856,1378826,465389323,40773052
443581301,606,982626,109902987,6970973
443581302,606,1923311,181851831,10510630
443591101,1369,1326240,796540413,67416399
443591102,1369,1546635,2908610122,360194041
443591201,3258,0,440824020,42096766
443591202,3258,1477000,491755104,40105116
443591203,3258,1099698,345065887,24240058
443591204,3258,0,225110568,24261696
443591301,766,1431256,424496120,32986273
443591302,766,525083,129726908,8666764
443601101,1000,1237160,434616552,41148950
443601102,1000,361544,125952821,12729136
443601201,1605,201769,186842370,19991772
443601202,1605,1505335,494953684,45447523
443601203,1605,2337350,515072370,44470197
443601204,1605,1505335,463495830,40283221
443601301,1579,2243289,389649422,37016208
443601302,1579,3329254,440624898,35063096
443611101,5432,3022664,4179135613,425616941
443611102,5432,10241766,7920176632,559887846
443611201,746,577035,224699684,17398728
443611202,746,0,82087646,9183189
443611203,746,692863,681394270,51648083
443611204,746,812903,346278882,28727745
443611301,320,47384,20801543,1407063
443611302,320,227896,44481030,4012689
443621101,112,76250,24989586,2281558
443621102,112,250106,82112876,6269122
443621201,1960,1954495,303146175,27112582
443621202,1960,2513713,483496453,31877133
443621203,1960,800069,210567891,22690477
443621204,1960,2355914,472755488,40523027
443621301,2520,2320716,388856050,27783460
443621302,2520,1633755,394166463,34611933
443631101,540,273055,77565813,5151763
443631102,540,202122,73423896,5801209
443631201,2430,3260646,670944390,47576472
443631202,2430,3099330,571586220,45027910
443631203,2430,3823537,824608308,61074785
443631204,2430,1088026,281037769,24934384
443631301,486,588976,90178094,7015232
443631302,486,649383,117015869,8382013
443641101,267,252183,78143799,7432523
443641102,267,333605,144807538,14073997
443641201,1841,1844071,493548455,49111324
443641202,1841,3058713,437247751,28025705
443641203,1841,1971517,414949997,34122962
443641204,1841,1539760,343532427,28281773
443641301,3896,9366874,1499872264,102188782
443641302,3896,2740719,586616825,46569694
