,FILING_SEQ_NO,ASSESSMENT_YEAR,FORM_ID,GENDER,RES_STATUS,SALARIES,INCOME_HP,PRFT_GAIN_BP_OTHR_SPECLTV_BUS,PRFT_GAIN_BP_SPECLTV_BUS,PRFT_GAIN_BP_SPCFD_BUS,PRFT_GAIN_BP_INC_115BBF,TOTAL_PROFTS_GAINS_BP,ST_CG_AMT_1,ST_CG_AMT_2,LTCG_INDEXATION,ST_CG_AMT_APPRATE,LTCG_NO_INDEXATION,TOTAL_SCTG,LT_CG_AMT_1,LT_CG_AMT_2,TOTAL_LTCG,TOTAL_CAP_GAIN,INCOME_OS_NOT_RACEHORSE,INC_CHARBLE_SPL_RATE,WIN_LOT_PUZ,INCOME_OS_RACEHORSE,TOTAL_INCOME_OS,GTI_BEFORE_LOSSES,CYL_SET_OFF,BAL_AFTR_CYL_SET_OFF,BFL_SET_OFF_BALANCE,GROSS_TOTAL_INCOME,INC_CHG_TAX_SPL_RATES,DEDUCT_SEC_10A_OR_10AA,PARTB_CHAPTER_VIA,PARTC_CHAPTER_VIA,TOTAL_DEDUC_VIA,TOTAL_INCOME,INC_SPL_111A_112,NET_AGRC_INCOME,AGGREGATE_INCOME,CY_LOSS_CARRYFWD,TAX_PAYBLE_TI_SEC115JC,SURCHARGE_ON_DEEMED_TI,EDUCATION_CESS_SEC115JC,TOTAL_TAX_PAYBL_SEC115JC,TAX_NORMAL_RATE,TAX_SI_RATE,REBATE_AGRC_INCOME,TAX_PAYABL_TOT_INCOM,REBATE_87A,TAX_PAYABLE_ON_REBATE,SURCHARGE_25OFSI,SURCHARGE_ON_ABOVE_CRORE,TOTAL_SURCHARGE,REBATE,BALANCE_TAX_PAYABLE,EDUCATION_CESS,GROSS_TAX_LIABILITY,GROSS_TAX_PAYABLE,CRDEDIT_US115JD_EY,TAX_PAYBLE_AFTR_CRDT_SEC115JD,RELIEF_89,RELIEF_90,RELIEF_91,TOTAL_RELIEF,NET_TAX_LIABILTY,INT_PAYABLE_234A,INT_PAYABLE_234B,INT_PAYABLE_234C,TOTAL_INT_PAYABLE,AGGREGATE_LIABILTY,ADVANCE_TAX,TOTAL_TDS,TOTAL_TCS,SELF_ASSESMNT_TAX,TOTAL_TAX_PAID,TAX_PAYBL,REFUND_AMOUNT,AGE,EDUCATION_CESS_115JC,AGEGRP
30,282416815,2017,ITR-1,M,RES,851676.1,-200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37708,689384,0,0,0,689384,0,0,0,0,190000,499380,0,0,0,0,0,0,0,0,24938,0,0,24938,5000,19938,0,0,0,0,0,598,20536,20536,0,0,0,0,0,0,20536,0,0,0,0,20536,0,22685,0,0,22685,0,2150,34,0,0
31,294386811,2017,ITR-1,M,RES,281048.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281048,0,0,0,281048,0,0,0,0,20797,260250,0,0,0,0,0,0,0,0,1025,0,0,1025,1025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7356,0,0,7356,0,7360,30,0,0
32,338763539,2017,ITR-1,M,RES,279600.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1930,281530,0,0,0,281530,0,0,0,0,26430,255100,0,0,0,0,0,0,0,0,510,0,0,510,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0
33,292525061,2017,ITR-1,M,RES,514812.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514812,0,0,0,514812,0,0,0,0,221500,293310,0,0,0,0,0,0,0,0,4331,0,0,4331,4331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8957,0,0,8957,0,8960,40,0,0
34,299762613,2017,ITR-1,M,RES,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457700,457700,0,0,0,457700,0,0,0,0,9920,447780,0,0,0,0,0,0,0,0,14778,0,0,14778,5000,9778,0,0,0,0,0,294,10072,10072,0,0,0,0,0,0,10072,0,0,0,0,10072,0,10141,0,0,10141,0,70,60,0,1
35,284028226,2017,ITR-1,M,RES,666547.1,-3252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,663295,0,0,0,663295,0,0,0,0,158000,505300,0,0,0,0,0,0,0,0,26060,0,0,26060,0,26060,0,0,0,0,0,782,26842,26842,0,0,0,0,0,0,26842,0,0,0,0,26842,0,26842,0,0,26842,0,0,41,0,0
36,286102193,2017,ITR-1,M,RES,1093565.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1093565,0,0,0,1093565,0,0,0,0,185291,908270,0,0,0,0,0,0,0,0,106654,0,0,106654,0,106654,0,0,0,0,0,3200,109854,109854,0,0,0,0,0,0,109854,0,0,0,0,109854,0,133875,0,0,133875,0,24020,38,0,0
37,336923804,2017,ITR-1,F,RES,0.1,343637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12231,355868,0,0,0,355868,0,0,0,0,2968,352900,0,0,0,0,0,0,0,0,10290,0,0,10290,5000,5290,0,0,0,0,0,159,5449,5449,0,0,0,0,0,0,5449,0,0,0,0,5449,0,50797,0,0,50797,0,45350,50,0,0
38,280370173,2017,ITR-1,M,RES,980000.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23578,1003578,0,0,0,1003578,0,0,0,0,119912,883670,0,0,0,0,0,0,0,0,101734,0,0,101734,0,101734,0,0,0,0,0,3052,104786,104786,0,0,0,0,0,0,104786,0,0,0,0,104786,0,178875,0,0,178875,0,74090,46,0,0
39,279150712,2017,ITR-1,M,RES,582960.1,-116382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35056,501634,0,0,0,501634,0,0,0,0,120536,381100,0,0,0,0,0,0,0,0,13110,0,0,13110,5000,8110,0,0,0,0,0,243,8353,8353,0,0,0,0,0,0,8353,0,0,0,0,8353,0,20236,0,0,20236,0,11880,33,0,0
