FILING_SEQ_NO,AGE,AGEGRP,SALARIES,INCOME_HP,PRFT_GAIN_BP_OTHR_SPECLTV_BUS,PRFT_GAIN_BP_SPECLTV_BUS,PRFT_GAIN_BP_SPCFD_BUS,PRFT_GAIN_BP_INC_115BBF,TOTAL_PROFTS_GAINS_BP,SHORT_TERM_15PER,SHORT_TERM_30PER,SHORT_TERM_APPRATE,TOTAL_SCTG,LONG_TERM_10PER,LONG_TERM_20PER,TOTAL_LTCG,TOTAL_CAP_GAIN,INCOME_OS_NOT_RACEHORSE,INC_CHARBLE_SPL_RATE,INCOME_OS_RACEHORSE,TOTAL_INCOME_OS,TOTAL_INCOME_ALL,CYL_SET_OFF,BAL_AFTR_CYL_SET_OFF,BFL_SET_OFF_BALANCE,GROSS_TOTAL_INCOME,INC_CHG_TAX_SPL_RATES,DEDUCT_SEC_10A_OR_10AA,PARTB_CHAPTER_VIA,PARTC_CHAPTER_VIA,TI.TOTAL_DEDUC_VIA,TOTAL_INCOME,INC_SPL_111A_112,NET_AGRC_INCOME,AGGREGATE_INCOME,CY_LOSS_CARRYFWD,TAX_PAYBLE_TI_SEC115JC,SURCHARGE_ON_DEEMED_TI,EDUCATION_CESS,TOTAL_TAX_PAYBL_SEC115JC,TAX_NORMAL_RATE,TAX_SI_RATE,REBATE_AGRC_INCOME,TAX_PAYABL_TOT_INCOM,REBATE_87A,TAX_PAYABLE_ON_REBATE,SURCHARGE_25OFSI,SURCHARGE_ON_ABOVE_CRORE,TOTAL_SURCHARGE,EDUCATION_CESS.1,GROSS_TAX_LIABILITY,GROSS_TAX_PAYABLE,CRDEDIT_US115JD_EY,TAX_PAYBLE_AFTR_CRDT_SEC115JD,RELIEF_89,RELIEF_90,RELIEF_91,TOTAL_RELIEF,NET_TAX_LIABILTY,INT_PAYABLE_234A,INT_PAYABLE_234B,INT_PAYABLE_234C,TOTAL_INT_PAYABLE,AGGREGATE_LIABILTY,ADVANCE_TAX,TOTAL_TDS,TOTAL_TCS,SELF_ASSESMNT_TAX,TOTAL_TAX_PAID,TAX_PAYBL,REFUND_AMOUNT,Unnamed: 70
267227192,72.461483,1,0,0,252210,0,0,0,252210,0,0,0,0,0,0,0,0,0,0,0,0,252210,0,252210,0,252210,0,0,0,0,0,252210,0,0,252210,0,0,0,0,0,221,0,0,221,221,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
267236208,68.35744033,1,0,0,390200,0,0,0,390200,0,0,0,0,0,0,0,0,15253,0,0,15253,405453,0,405453,0,405453,0,0,73268,0,73268,332190,0,160000,492190,0,0,0,97,0,24219,0,16000,8219,5000,3219,0,0,0,97,3316,3316,0,3316,,,,,3316,0,0,0,0,3316,0,0,0,3320,3320,0,0,
267242084,43.34165484,0,0,0,340324,0,0,0,340324,0,0,0,0,0,0,0,0,31123,0,0,31123,371447,0,371447,0,371447,0,0,66662,0,66662,304790,0,0,304790,0,0,0,14,0,5479,0,0,5479,5000,479,0,0,0,14,493,493,0,493,,,,,493,0,0,0,0,493,0,0,0,490,490,0,0,
267264368,61.51974431,1,0,22124,287293,0,0,0,287293,0,0,0,0,0,0,0,0,64962,0,0,64962,374379,0,374379,0,374379,0,0,143300,0,143300,231080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,12026,0,12026,0,12030,
267270886,39.21179066,0,0,381003,219418,0,0,0,219418,0,0,0,0,0,0,0,0,0,0,0,0,600421,0,600421,0,600421,0,0,19600,0,19600,580820,0,0,580820,0,0,0,1235,0,41164,0,0,41164,0,41164,0,0,0,1235,42399,42399,0,42399,0,0,0,0,42399,0,0,0,0,42399,0,44829,0,0,44829,0,2430,
267276134,33.22144038,0,0,0,716662,0,0,0,716662,0,0,0,0,0,0,0,0,2575,0,0,2575,719237,200000,519237,0,519237,0,0,24240,0,24240,495000,0,0,495000,0,0,0,585,0,24500,0,0,24500,5000,19500,0,0,0,585,20085,20085,0,20085,0,0,0,0,20085,0,200,1010,1210,21295,0,0,0,21300,21300,0,0,
267284382,41.61892833,0,0,0,265825,0,0,0,265825,0,0,0,0,0,0,0,0,0,0,0,0,265825,0,265825,0,265825,0,0,0,0,0,265830,0,0,265830,0,0,0,0,0,1583,0,0,1583,1583,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
267294376,78.11627553,1,0,0,324630,0,0,0,324630,0,0,0,0,0,0,0,0,295,0,0,295,324925,0,324925,0,324925,0,0,295,0,295,324630,0,0,324630,0,0,0,74,0,7463,0,0,7463,5000,2463,0,0,0,74,2537,2537,0,2537,0,0,0,0,2537,0,0,0,0,2537,0,42,0,2500,2542,0,10,
267305998,70.16038564,1,36000,0,360000,0,0,0,360000,0,0,0,0,0,0,0,0,631,0,0,631,396631,0,396631,0,396631,0,0,117118,0,117118,279510,0,0,279510,0,0,0,0,0,2951,0,0,2951,2951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267312809,34.15609833,0,0,0,731633,0,0,0,731633,0,0,0,0,0,0,0,0,16415,0,0,16415,748048,0,748048,0,748048,0,0,29785,0,29785,718260,0,0,718260,0,0,0,2060,0,68652,0,0,68652,0,68652,0,0,0,2060,70712,70712,0,70712,,,,,70712,0,707,3569,4276,74988,0,0,0,75000,75000,0,10,
267331233,46.32416435,0,0,0,491520,0,0,0,491520,0,0,0,0,0,0,0,0,121,0,0,121,491641,0,491641,0,491641,0,0,121,0,121,491520,0,0,491520,0,0,0,425,0,19155,0,0,19155,5000,14155,0,0,0,425,14580,14580,0,14580,0,0,0,0,14580,0,0,0,0,14580,0,0,0,14580,14580,0,0,
267332342,98.65556677,2,0,0,495507,0,0,0,495507,31920,0,0,31920,0,0,0,31920,1235,0,0,1235,528662,0,528662,31920,496742,0,0,35507,0,35507,461240,0,0,461240,0,0,0,484,0,21124,0,0,21124,5000,16124,0,0,0,484,16608,16608,0,16608,0,0,0,0,16608,0,0,0,0,16608,0,6843,0,9770,16613,0,0,
267355950,39.19965329,0,0,0,378625,0,0,0,378625,0,0,0,0,0,0,0,0,0,0,0,0,378625,79778,298847,0,298847,0,0,0,0,0,298850,0,0,298850,0,0,0,0,0,4885,0,0,4885,4885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267363007,65.20491609,1,0,0,285634,0,0,0,285634,0,0,0,0,0,0,0,0,64,0,0,64,285698,0,285698,0,285698,0,0,64,0,64,285630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267365489,50.13382261,0,0,0,250000,0,0,0,250000,0,0,0,0,0,0,0,0,148,0,0,148,250148,0,250148,0,250148,0,0,148,0,148,250000,0,0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
267389326,23.14835996,0,0,0,859751,0,0,0,859751,0,0,0,0,0,0,0,0,155902,0,0,155902,1015653,0,1015653,0,1015653,0,0,173035,0,173035,842620,0,0,842620,0,0,0,2806,0,93524,0,0,93524,0,93524,0,0,0,2806,96330,96330,0,96330,,,,,96330,0,0,1260,1260,97590,90000,0,0,7591,97591,0,0,
267407794,37.28903328,0,0,0,306725,0,0,0,306725,0,0,0,0,0,0,0,0,7542,0,0,7542,314267,0,314267,0,314267,0,0,27854,0,27854,286410,0,0,286410,0,0,0,0,0,3641,0,0,3641,3641,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
267411363,80.02262356,2,0,0,812260,0,0,0,812260,0,0,0,0,0,0,0,0,0,0,0,0,812260,0,812260,0,812260,0,0,150000,0,150000,662260,0,0,662260,0,0,0,1724,0,57452,0,0,57452,0,57452,0,0,0,1724,59176,59176,0,59176,,,,,59176,0,0,0,0,59176,0,95990,0,0,95990,0,36810,
267415492,80.92526018,2,0,0,285255,0,0,0,285255,0,0,0,0,0,0,0,0,45,0,0,45,285300,0,285300,0,285300,0,0,45,0,45,285260,0,0,285260,0,0,0,0,0,3526,0,0,3526,3526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267437526,60.82845301,1,0,0,288302,0,0,0,288302,0,0,0,0,0,0,0,0,9007,0,0,9007,297309,0,297309,0,297309,0,0,9007,0,9007,288300,0,0,288300,0,0,0,0,0,3830,0,0,3830,3830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
267437815,40.79024077,0,0,0,408412,0,0,0,408412,0,0,0,0,0,0,0,0,0,0,0,0,408412,0,408412,0,408412,0,0,83400,0,83400,325010,0,0,325010,0,0,0,75,0,7501,0,0,7501,5000,2501,0,0,0,75,2576,2576,0,2576,0,0,0,0,2576,0,0,0,0,2576,0,0,0,2576,2576,0,0,
267438857,82.09964189,2,0,0,217034,0,0,0,217034,0,0,0,0,0,0,0,0,87830,0,0,87830,304864,0,304864,0,304864,0,0,0,0,0,304860,0,56920,361780,0,0,0,15,0,11178,0,5692,5486,5000,486,0,0,0,15,501,501,0,501,0,0,0,0,501,0,0,0,0,501,0,0,0,500,500,0,0,
267485353,91.8399364,2,0,0,250450,0,0,0,250450,0,0,0,0,0,0,0,0,0,0,0,0,250450,0,250450,0,250450,0,0,0,0,0,250450,0,0,250450,0,0,0,0,0,45,0,0,45,45,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
267497731,47.48352749,0,0,0,173627,0,0,0,173627,0,0,0,0,0,0,0,0,468,0,0,468,174095,0,174095,0,174095,0,0,468,0,468,173630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,
267502092,51.03865629,0,0,0,329220,0,0,0,329220,0,0,0,0,0,0,0,0,0,0,0,0,329220,0,329220,0,329220,0,0,9800,0,9800,319420,0,0,319420,0,0,0,58,0,6942,0,0,6942,5000,1942,0,0,0,58,2000,2000,0,2000,,,,,2000,0,0,0,0,2000,0,0,0,2000,2000,0,0,
