FILING_SEQ_NO,AGE,AGEGRP,FORM_ID,ASSESSMENT_YEAR,SALARIES,INCOME_HP,PRFT_GAIN_BP_OTHR_SPECLTV_BUS,PRFT_GAIN_BP_SPECLTV_BUS,PRFT_GAIN_BP_SPCFD_BUS,PRFT_GAIN_BP_INC_115BBF,TOTAL_PROFTS_GAINS_BP,ST_CG_AMT_1,ST_CG_AMT_2,ST_CG_AMT_APPRATE,TOTAL_SCTG,LT_CG_AMT_1,LT_CG_AMT_2,TOTAL_LTCG,TOTAL_CAP_GAIN,INCOME_OS_NOT_RACEHORSE,INC_CHARBLE_SPL_RATE,INCOME_OS_RACEHORSE,TOTAL_INCOME_OS,GTI_BEFORE_LOSSES,CYL_SET_OFF,BAL_AFTR_CYL_SET_OFF,BFL_SET_OFF_BALANCE,GROSS_TOTAL_INCOME,INC_CHG_TAX_SPL_RATES,DEDUCT_SEC_10A_OR_10AA,PARTB_CHAPTER_VIA,PARTC_CHAPTER_VIA,TOTAL_DEDUC_VIA,TOTAL_INCOME,INC_SPL_111A_112,NET_AGRC_INCOME,AGGREGATE_INCOME,CY_LOSS_CARRYFWD,TAX_PAYBLE_TI_SEC115JC,SURCHARGE_ON_DEEMED_TI,EDUCATION_CESS_SEC115JC,TOTAL_TAX_PAYBL_SEC115JC,TAX_NORMAL_RATE,TAX_SI_RATE,REBATE_AGRC_INCOME,TAX_PAYABL_TOT_INCOM,REBATE_87A,TAX_PAYABLE_ON_REBATE,SURCHARGE_25OFSI,SURCHARGE_ON_ABOVE_CRORE,TOTAL_SURCHARGE,EDUCATION_CESS,GROSS_TAX_LIABILITY,GROSS_TAX_PAYABLE,CRDEDIT_US115JD_EY,TAX_PAYBLE_AFTR_CRDT_SEC115JD,RELIEF_89,RELIEF_90,RELIEF_91,TOTAL_RELIEF,NET_TAX_LIABILTY,INT_PAYABLE_234A,INT_PAYABLE_234B,INT_PAYABLE_234C,TOTAL_INT_PAYABLE,AGGREGATE_LIABILTY,ADVANCE_TAX,TOTAL_TDS,TOTAL_TCS,SELF_ASSESMNT_TAX,TOTAL_TAX_PAID,TAX_PAYBL,REFUND_AMOUNT,position,decile_group
301675865,38,0,ITR-1,2017,446214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446214,0,0,0,446214,0,0,0,0,150000,296210,0,0,0,0,0,0,0,0,4621,0,0,4621,4621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12090,0,0,12090,0,12090,75965,6
317090975,41,0,ITR-4,2017,0,0,0,0,0,0,874120,0,0,0,0,0,0,0,0,0,0,0,83696,957816,0,0,0,957816,0,0,0,0,150000,807820,0,0,0,0,0,0,0,0,86564,0,0,86564,0,86564,0,0,0,2597,89161,89161,0,0,0,0,0,0,89161,0,0,0,0,89161,0,107481,0,0,107481,0,18320,158001,9
276859580,42,0,ITR-1,2017,1285843,-104449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1181394,0,0,0,1181394,0,0,0,0,161221,1020170,0,0,0,0,0,0,0,0,131051,0,0,131051,0,131051,0,0,0,3932,134983,134983,0,0,0,0,0,0,134983,0,0,0,0,134983,0,134984,0,0,134984,0,0,187631,10
321373196,71,1,ITR-2,2017,0,0,0,0,0,0,0,0,0,0,0,0,2118577,2118577,2118577,212299,0,0,212299,2330876,0,2330876,0,2330876,2020880,0,0,0,10000,2320880,2118577,0,0,0,0,0,0,0,0,404176,0,404176,0,404176,0,0,0,12125,416301,0,0,0,0,0,0,0,416301,14441,0,0,14441,430742,210000,0,0,250736,460736,0,29990,230244,10
319639665,53,0,ITR-1,2017,518715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518715,0,0,0,518715,0,0,0,0,225000,293720,0,0,0,0,0,0,0,0,4372,0,0,4372,4372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6868,0,0,6868,0,6870,95389,7
283070718,60,1,ITR-1,2017,2338596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135437,2474033,0,0,0,2474033,0,0,0,0,169480,2304550,0,0,0,0,0,0,0,0,511365,0,0,511365,0,511365,0,0,0,15341,526706,526706,0,0,0,0,0,0,526706,0,0,0,0,526706,40000,497036,0,0,537036,0,10330,232074,10
293431353,74,1,ITR-1,2017,365749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365749,0,0,0,365749,0,0,0,0,19856,345890,0,0,0,0,0,0,0,0,4589,0,0,4589,4589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1622,0,0,1622,0,1620,53586,5
289937606,49,0,ITR-1,2017,3382993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120670,3503663,0,0,0,3503663,0,0,0,0,166475,3337190,0,0,0,0,0,0,0,0,826157,0,0,826157,0,826157,0,0,0,24785,850942,850942,0,0,0,0,0,0,850942,0,0,1164,1164,852106,0,827809,0,24300,852109,0,0,239227,10
280678495,59,0,ITR-2,2017,600000,576489,0,0,0,0,0,0,0,0,0,0,0,0,0,482033,0,0,482033,1658522,0,1658522,0,1658522,0,0,0,0,179944,1478580,0,0,1478580,0,0,0,0,0,268574,0,0,268574,0,268574,0,0,0,8057,276631,0,0,0,0,0,0,0,276631,0,8020,10123,18143,294774,0,76041,0,218733,294774,0,0,215425,10
327475253,53,0,ITR-4,2017,0,0,0,0,0,0,377600,0,0,0,0,0,0,0,0,0,0,0,0,377600,0,0,0,377600,0,0,0,0,41040,336560,0,0,0,0,0,0,0,0,8656,0,0,8656,5000,3656,0,0,0,110,3766,3766,0,0,0,0,0,0,3766,296,0,0,296,4062,0,0,0,4060,4060,0,0,57014,5
283936371,35,0,ITR-1,2017,2262600,-151839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2110761,0,0,0,2110761,0,0,0,0,180000,1930760,0,0,0,0,0,0,0,0,404228,0,0,404228,0,404228,0,0,0,12127,416355,416355,0,0,0,0,0,0,416355,0,0,0,0,416355,0,416355,0,0,416355,0,0,226776,10
301727186,36,0,ITR-3,2017,1152474,0,201184,0,0,0,201184,0,0,840,840,0,0,0,840,45620,0,0,45620,1400118,0,1400118,0,1400118,0,0,179183,0,179183,1220940,0,0,1220940,0,0,0,0,0,191282,0,0,191282,0,191282,0,0,0,5738,197020,197020,0,197020,0,0,0,0,197020,1240,3720,3341,8301,205321,135000,0,0,70321,205321,0,0,204146,10
